
============================== SIGNAL 1 FINAL OUTPUT ==============================
Idx  | Hex(Real)  | Real (Float) | Hex(Imag)  | Imag (Float)
398  | 3f59f792   | 0.85143      | c089c854   | -4.30570    
399  | 3dfaa66c   | 0.12239      | 40c87feb   | 6.26561     
400  | bf79f7ad   | -0.97644     | 40c494df   | 6.14317     
401  | c0a8666c   | -5.26250     | c0adae97   | -5.42756    
402  | 3e1cb0fa   | 0.15302      | bfeff01a   | -1.87451    
403  | c0e523d4   | -7.16062     | 3ecc0878   | 0.39850     
404  | c00eeef8   | -2.23334     | 402e34c7   | 2.72197     
405  | 40aa74ca   | 5.32676      | 400c1c22   | 2.18922     
406  | bfc8369f   | -1.56417     | bf74c501   | -0.95613    
407  | 4105e702   | 8.36890      | bf6a1691   | -0.91441    
408  | c08bb7bb   | -4.36618     | 40ae52a4   | 5.44759     
409  | 403c124a   | 2.93862      | c0e5477c   | -7.16498    
410  | bf71907a   | -0.94361     | c07b975a   | -3.93111    
411  | 4098ca65   | 4.77471      | 4109b562   | 8.60678     
412  | bec01e4b   | -0.37523     | c10edd30   | -8.92900    
413  | c0924e63   | -4.57207     | 408e3936   | 4.44448     
414  | be003d56   | -0.12523     | 3ee63f98   | 0.44970     
415  | 408d2546   | 4.41080      | 40db6d06   | 6.85706     
416  | c00bc56e   | -2.18393     | bfd0f35c   | -1.63243    
