Idx    | Gold_Re      | Gold_Im      | Core_Re      | Core_Im      | Diff         | Err(%)     | Note
1706   | 6.64930      | -4.42980     | 6.35133      | -4.94070     | 0.59144      | 7.40       | 
1707   | -8.52601     | -2.03820     | -8.86804     | -2.34476     | 0.45930      | 5.24       | 
1708   | 3.85417      | 1.32488      | 3.56275      | 0.81040      | 0.59128      | 14.51      | HIGH_ERR
1709   | 15.40428     | -0.20670     | 15.66622     | -0.81296     | 0.66043      | 4.29       | 
1710   | 3.66954      | 2.19686      | 3.38432      | 1.67880      | 0.59139      | 13.83      | HIGH_ERR
1711   | -0.31874     | -0.12206     | -0.73223     | -0.54173     | 0.58914      | 172.61     | HIGH_ERR
1712   | 1.08290      | -0.60273     | 0.80408      | -1.12414     | 0.59127      | 47.71      | HIGH_ERR
1713   | -6.70106     | 0.62112      | -7.02836     | 0.02768      | 0.67771      | 10.07      | HIGH_ERR
1714   | 4.32414      | -0.32152     | 4.05178      | -0.84649     | 0.59142      | 13.64      | HIGH_ERR
1715   | -3.43139     | -4.70259     | -3.63211     | -5.23329     | 0.56739      | 9.75       | 
1716   | -3.87102     | 2.90842      | -4.13670     | 2.38018      | 0.59129      | 12.21      | HIGH_ERR
1717   | 9.18061      | -1.14152     | 8.05670      | -1.33509     | 1.14046      | 12.33      | HIGH_ERR
1718   | 2.46137      | 1.29122      | 2.20196      | 0.75981      | 0.59135      | 21.28      | HIGH_ERR
1719   | 6.52934      | 1.21560      | 6.28038      | 0.44909      | 0.80593      | 12.13      | HIGH_ERR
1720   | 2.38798      | -4.15284     | 2.13518      | -4.68733     | 0.59126      | 12.34      | HIGH_ERR
1721   | -0.80119     | 4.96783      | -1.12033     | 4.45661      | 0.60266      | 11.98      | HIGH_ERR
1722   | 0.15506      | -4.06052     | -0.09126     | -4.59817     | 0.59138      | 14.55      | HIGH_ERR
1723   | 3.17463      | -0.87564     | 2.95366      | -1.43460     | 0.60106      | 18.25      | HIGH_ERR
1724   | 7.43557      | 0.26188      | 7.19583      | -0.27898     | 0.59161      | 7.95       | 
1725   | -10.45909    | 2.62316      | -10.38983    | 1.66798      | 0.95768      | 8.88       | 
1726   | 3.62635      | -1.31691     | 3.39345      | -1.86050     | 0.59138      | 15.33      | HIGH_ERR
1727   | 0.73537      | 1.74269      | 0.61401      | 1.30351      | 0.45563      | 24.09      | HIGH_ERR
1728   | -1.88185     | -9.06815     | -2.10807     | -9.61440     | 0.59125      | 6.38       | 
1729   | -7.69968     | -9.42289     | -7.92248     | -9.97045     | 0.59116      | 4.86       | 
1730   | -3.78438     | -6.67155     | -4.00391     | -7.22056     | 0.59127      | 7.71       | 
1731   | 0.77055      | 2.57600      | 0.54800      | 2.02601      | 0.59330      | 22.07      | HIGH_ERR
1732   | -4.07191     | 3.17657      | -4.28505     | 2.62479      | 0.59151      | 11.45      | HIGH_ERR
1733   | 11.91727     | 4.33636      | 11.83029     | 4.16734      | 0.19009      | 1.50       | 
1734   | 5.80972      | 1.30258      | 5.60357      | 0.74856      | 0.59114      | 9.93       | 
1735   | 4.22565      | -1.04565     | 3.91062      | -1.76864     | 0.78864      | 18.12      | HIGH_ERR
1736   | 4.08371      | 0.62194      | 3.88464      | 0.06526      | 0.59120      | 14.31      | HIGH_ERR
1737   | 1.79188      | 1.57650      | 1.58893      | 1.04478      | 0.56914      | 23.85      | HIGH_ERR
1738   | -2.29170     | -1.26838     | -2.48413     | -1.82767     | 0.59147      | 22.58      | HIGH_ERR
1739   | -7.76449     | 1.60396      | -8.05009     | 1.20559      | 0.49017      | 6.18       | 
1740   | -1.84942     | 3.71755      | -2.03490     | 3.15605      | 0.59134      | 14.24      | HIGH_ERR
1741   | 0.72339      | -2.05465     | 0.87619      | -2.32206     | 0.30799      | 14.14      | HIGH_ERR
1742   | 0.74826      | 9.29781      | 0.56997      | 8.73397      | 0.59135      | 6.34       | 
1743   | 4.56144      | 9.86243      | 4.89707      | 9.24944      | 0.69885      | 6.43       | 
